"lang"
{
	"Language"		"English"
	"Tokens"
	{
		//english/abilities.txt
		"DOTA_AbilityTooltip_AbilityDraftNote_Header"	"Note"
		"DOTA_Tooltip_modifier_relief_fund"								"Bounty of Order"
		"DOTA_Tooltip_modifier_relief_fund_Description"			"All gold income increased by %dMODIFIER_PROPERTY_TOOLTIP%%%, the Chance of dropping Neutral Items increased by %dMODIFIER_PROPERTY_TOOLTIP2%%%."
		"DOTA_AbilityTooltip_TorturePipe"	"<br><font color='#f7ab00'>Torture Pipe</font> can increase the damage of this skill"
		"DOTA_AbilityTooltip_SkyStaff"	"<font color='#00BFFF'>Sky Staff</font> and <font color='#00BFFF'>Force of Star</font> has no effect on this ability."
		"DOTA_AbilityTooltip_Sealing"	"<br>This is a <font color='#bd49ff'>Sealing Ability</font>. Using <font color='#B694FF'>Bad Juju</font> to reduce its cooldown or <font color='#B694FF'>Rearm</font> to reset its cooldown requires a greater cost.<br>"
		"DOTA_Tooltip_ability_storm_spirit_ball_lightning_lua"	"Ball Lightning"
		"DOTA_Tooltip_ability_storm_spirit_ball_lightning_lua_Description"	"Storm Spirit becomes volatile electricity, charging across the battlefield until he depletes his mana or reaches his target. The activation mana cost is %ball_lightning_initial_mana_base% + %ball_lightning_initial_mana_percentage%%% of his total mana pool, and the cost per 100 units traveled is %ball_lightning_travel_cost_base% + %ball_lightning_travel_cost_percent%%% of his total mana pool. Damage is expressed in damage per 100 units traveled."
		"DOTA_Tooltip_ability_storm_spirit_ball_lightning_lua_ball_lightning_aoe"	"RADIUS:"
		"DOTA_Tooltip_ability_storm_spirit_ball_lightning_lua_ball_lightning_move_speed"	"SPEED:"
		"DOTA_Tooltip_ability_storm_spirit_static_remnant_lua"	"Static Remnant"
		"DOTA_Tooltip_ability_storm_spirit_static_remnant_lua_Description"	"Storm Spirit creates an explosively charged image of himself that lasts %duration%s and will detonate and deal damage upon approaching an enemy."
		"DOTA_Tooltip_ability_storm_spirit_static_remnant_lua_static_remnant_damage_radius"	"RADIUS:"
		"DOTA_Tooltip_ability_storm_spirit_static_remnant_lua_static_remnant_radius"	"TRIGGER RADIUS:"
		"DOTA_Tooltip_ability_storm_spirit_static_remnant_lua_static_remnant_delay"	"IMPACT DELAY:"
		"DOTA_Tooltip_ability_storm_spirit_static_remnant_lua_static_remnant_damage"	"DAMAGE:"
		"DOTA_Tooltip_ability_bane_fiends_grip_lua"	"Fiend's Grip"
		"DOTA_Tooltip_ability_bane_fiends_grip_lua_Description"	"CHANNELED - Grips an enemy unit, disabling it and causing heavy damage over time, while stealing mana every %fiend_grip_tick_interval%s based on the unit's maximum mana."
		"DOTA_Tooltip_ability_bane_fiends_grip_lua_fiend_grip_mana_drain"	"MAX MANA DRAIN PER SECOND:"
		"DOTA_Tooltip_ability_bane_fiends_grip_lua_AbilityChannelTime"	"DURATION:"
		"DOTA_Tooltip_ability_bane_fiends_grip_lua_fiend_grip_damage"	"DAMAGE PER SECOND:"
		"DOTA_Tooltip_ability_bane_fiends_grip_lua_illusion_count"	"ILLUSION:"
		"DOTA_Tooltip_ability_bane_fiends_grip_lua_scepter_incoming_illusion_damage"	"%DAMAGE TAKEN BY ILLUSION:"
		"DOTA_Tooltip_modifier_bane_fiends_grip_lua"				"Fiend's Grip"
		"DOTA_Tooltip_modifier_bane_fiends_grip_lua_Description"	"Disabled."
		"DOTA_Tooltip_ability_ursa_enrage_lua"	"Enrage"
		"DOTA_Tooltip_ability_ursa_enrage_lua_Description"	"Ursa goes into a frenzy, providing damage reduction and status resistance. Removes any existing debuffs. \nDISPEL TYPE: Strong dispel."
		"DOTA_Tooltip_ability_ursa_enrage_lua_damage_reduction"	"%DAMAGE REDUCTION:"
		"DOTA_Tooltip_ability_ursa_enrage_lua_status_resistance"	"%STATUS RESISTANCE:"
		"DOTA_Tooltip_ability_ursa_enrage_lua_duration"	"DURATION:"
		"DOTA_Tooltip_modifier_ursa_enrage_lua_buff"	"Enrage"
		"DOTA_Tooltip_modifier_ursa_enrage_lua_buff_Description"	"Take less damage and gain Status Resistance."
		"DOTA_Tooltip_ability_night_stalker_hunter_in_the_night_lua"	"Hunter in the Night"
		"DOTA_Tooltip_ability_night_stalker_hunter_in_the_night_lua_Description"	"Night Stalker is in his element at night, attacking and moving with great swiftness."
		"DOTA_Tooltip_ability_night_stalker_hunter_in_the_night_lua_shard_Description"	"Actively casts Hunter in the Night on a unit, killing it and restoring Nightstalker to %shard_hp_restore_pct%% maximum HP and %shard_mana_restore_pct%% maximum mana."
		"DOTA_Tooltip_ability_night_stalker_hunter_in_the_night_lua_bonus_movement_speed_pct_night"	"%NIGHT MOVEMENT BONUS:"
		"DOTA_Tooltip_ability_night_stalker_hunter_in_the_night_lua_bonus_attack_speed_night"	"NIGHT ATTACK SPEED UP:"
		"DOTA_Tooltip_ability_night_stalker_hunter_in_the_night_lua_bonus_status_resist_night"	"%STATUS RESISTANCE:"
		"DOTA_Tooltip_ability_night_stalker_hunter_in_the_night_lua_shard_hp_restore_pct"	"%SHARD MAX HP RESTORE:"
		"DOTA_Tooltip_ability_night_stalker_hunter_in_the_night_lua_shard_mana_restore_pct"	"%SHARD MAX MANA RESTORE:"
		"DOTA_Tooltip_ability_kotl_chakra_burn"	"Chakra Burn"
		"DOTA_Tooltip_ability_kotl_chakra_burn_Description"	"Burns enemies within a radius of %radius% and reduces a total of [Caster Intelligence x %int_factor%%%] Magic Resistance with continuous damage, spread evenly over all enemies hit."
		"DOTA_Tooltip_ability_kotl_chakra_burn_min_stack"	"%Reduction of Magic Resistance per Enemy at Least:"
		"DOTA_Tooltip_ability_kotl_chakra_burn_max_stack"	"%Reduction of Magic Resistance per Enemy at Most:"
		"DOTA_Tooltip_ability_kotl_chakra_burn_bonus_magic_damage"	"DAMAGE PER SECOND:"
		"DOTA_Tooltip_ability_kotl_chakra_burn_duration"	"DURATION:"
		"DOTA_Tooltip_modifier_kotl_chakra_burn_debuff"	"Chakra Burn"
		"DOTA_Tooltip_modifier_kotl_chakra_burn_debuff_Description"	"Magic resistance reduced by %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%."
		"DOTA_Tooltip_ability_special_bonus_unique_keeper_of_the_light_7"	"-{s:value}s Chakra Magic/Burn Cooldown"
		"DOTA_Tooltip_ability_special_bonus_unique_keeper_of_the_light_14"	"Chakra Magic/Burn Dispels"
		"DOTA_Tooltip_ability_frostivus2018_luna_lucent_beam"	"Lucent Beam [Frosthaven]"
		"DOTA_Tooltip_ability_frostivus2018_luna_lucent_beam_Description"	"Calls a beam of lunar energy down{<}font color='#70EA72'{>} upon enemies within %radius% of the target{<}/font{>}, damaging and briefly stunning them."
		"DOTA_Tooltip_ability_frostivus2018_luna_lucent_beam_Lore"	"Selemene smites those who encroach upon the Nightsilver Woods."
		"DOTA_Tooltip_ability_frostivus2018_luna_lucent_beam_stun_duration"	"STUN DURATION:"
		"DOTA_Tooltip_ability_frostivus2018_luna_lucent_beam_beam_damage"	"LUCENT BEAM DAMAGE:"
		"DOTA_Tooltip_ability_frostivus2018_luna_lucent_beam_radius"	"RADIUS:"
		"DOTA_Tooltip_ability_frostivus2018_omniknight_repel"	"Heavenly Grace [Frosthaven]"
		"DOTA_Tooltip_ability_frostivus2018_omniknight_repel_Description"	"Applies a strong dispel on an ally{<}font color='#70EA72'{>}reduce their taken damage.{<}/font{>}\n\n Dispel Type: Strong Dispel"
		"DOTA_Tooltip_ability_frostivus2018_omniknight_repel_Lore"	"When faced with the pit of sacrifice, Purist's resilience to magic was tested and affirmed."
		"DOTA_Tooltip_ability_frostivus2018_omniknight_repel_duration"	"DURATION:"
		"DOTA_Tooltip_ability_frostivus2018_omniknight_repel_damage_reduction"	"%<font color='#70EA72'>DAMAGE REDUCTION</font>:"
		"DOTA_Tooltip_modifier_frostivus2018_omniknight_repel"	"Heavenly Grace [Frosthaven]"
		"DOTA_Tooltip_ability_holdout_omnislash"	"Secret Sword"
		"DOTA_Tooltip_ability_holdout_omnislash_Description"	"Juggernaut releases the image forward, and marks the units touched by the image. After the image reaches the destination, Juggernaut rush to the destination, attacking all the units with marks and causing additional damage."
		"DOTA_Tooltip_ability_holdout_omnislash_image_radius"	"Radius: "
		"DOTA_Tooltip_ability_holdout_omnislash_range"	"Range: "
		"DOTA_Tooltip_ability_holdout_omnislash_bonus_damage"	"Bonus Damage: "
		"DOTA_Tooltip_ability_sniper_assassinate_dm2017"	"Assassinate [Dark Moon]"
